Day,Spot,Area,Category,Description
Day 1,淺草寺・雷門,淺草,文化,東京最古老的寺廟與地標雷門
Day 1,仲見世商店街,淺草,購物,傳統小吃與伴手禮街道
Day 1,隅田公園,淺草,自然,河畔公園，可觀晴空塔景
Day 1,東京晴空塔,押上,地標,觀景台、夜景、Solamachi 商場
Day 1,墨田水族館,押上,室內景點,晴空塔內的現代水族館
Day 2,上野恩賜公園,上野,自然,都會綠洲，有櫻花與池塘
Day 2,東京國立博物館,上野,文化,日本最大博物館
Day 2,阿美橫町,上野,購物,熱鬧商店街、藥妝與小吃
Day 2,秋葉原無線電會館,秋葉原,動漫,動漫周邊與模型聖地
Day 2,MANDARAKE COMPLEX,秋葉原,動漫,二手動漫寶庫
Day 2,GINZA SIX,銀座,購物,大型複合商場與屋頂花園
Day 3,鶴岡八幡宮,鎌倉,神社,鎌倉最具代表神社
Day 3,小町通商店街,鎌倉,購物,特色小吃與伴手禮街
Day 3,長谷寺,鎌倉,寺廟,庭園與觀音像著名
Day 3,鎌倉大佛,鎌倉,地標,日本國寶，象徵鎌倉
Day 3,鎌倉高校前平交道,鎌倉,動漫聖地,《灌籃高手》取景地
Day 4,河口湖天上山公園纜車,富士河口湖,景觀,觀富士山全景
Day 4,河口湖遊覽船,富士河口湖,體驗,湖上觀景與逆富士倒影
Day 4,大石公園,富士河口湖,自然,花海與富士山合影地
Day 4,新倉富士淺間神社,富士吉田,神社,五重塔與富士山絕景
Day 5,表參道之丘,表參道,建築,安藤忠雄設計商場
Day 5,裏原宿,表參道,潮流,獨立服飾與古著店
Day 5,Kiddy Land,表參道,購物,玩具與卡通周邊
Day 5,下北澤東洋百貨店,下北澤,古著,多家古著與雜貨集成店
Day 5,Mikan 下北,下北澤,文青空間,複合書店與咖啡區
Day 6,森美術館,六本木,藝術,當代藝術展覽
Day 6,Tokyo City View,六本木,觀景,夜景與東京鐵塔視角
Day 6,毛利庭園,六本木,庭園,日式庭園與自然景觀
Day 6,國立新美術館,六本木,藝術,黑川紀章設計，特展豐富
